Tahun Rilis,Rank,Nama Game,Diskon,Harga,Rating,Tanggal Rilis,Followers,Online Saat Ini,Peak Pemain
2019,46.,Destiny 2,0%,Free,79.01%,01 Oct,"719,675","23,683","316,750"
2019,50.,Hunt: Showdown 1896,-50%,Rp 127500,72.01%,27 Aug,"487,821","11,991","60,124"
2019,78.,STAR WARS Jedi: Fallen Order™,-75%,Rp 119750,87.54%,15 Nov,"205,752","2,262","46,550"
2019,81.,Blasphemous,-90%,Rp 19999,88.56%,10 Sep,"90,902","2,274","3,465"
2019,121.,Oxygen Not Included,-70%,Rp 35999,95.39%,30 Jul,"396,429","10,600","27,486"
2019,131.,Assetto Corsa Competizione,-75%,Rp 112250,90.78%,29 May,"139,112","1,038","12,376"
2019,133.,Red Dead Redemption 2,0%,Rp 879000,91.05%,05 Dec,"875,506","23,939","99,993"
2019,148.,Trailmakers,-75%,Rp 29999,90.41%,18 Sep,"72,105","1,472","4,898"
2019,156.,Mortal Kombat 11,0%,—,86.94%,23 Apr,"168,432","1,467","35,147"
2019,185.,Total War: THREE KINGDOMS,-75%,Rp 135249,71.57%,23 May,"499,140","3,781","192,298"
2019,218.,Age of Empires II: Definitive Edition,0%,Rp 299500,93.62%,14 Nov,"261,984","15,094","38,725"
2019,221.,Need for Speed™ Heat,-90%,Rp 75900,82.94%,08 Nov,"136,411","2,010","86,196"
2019,241.,Atelier Ryza: Ever Darkness & the Secret Hideout,-75%,Rp 192500,84.54%,29 Oct,"95,853",232,"4,616"
2019,308.,Valve Index® Controllers,0%,—,—,28 Jun,"7,281",—,—
2019,320.,Green Hell,-75%,Rp 29999,84.75%,05 Sep,"293,645","1,875","20,003"
2019,325.,Planet Zoo,0%,Rp 440278,89.76%,05 Nov,"356,035","2,106","38,630"
2019,338.,Metro Exodus,-80%,Rp 64200,88.64%,14 Feb,"410,711",589,"15,375"
2019,358.,Sekiro™: Shadows Die Twice - GOTY Edition,0%,Rp 891000,94.27%,21 Mar,"625,837","3,864","125,315"
2019,363.,DEAD OR ALIVE 6,-85%,Rp 115500,73.29%,01 Mar,"69,206",110,"2,107"
2019,366.,Halo: The Master Chief Collection,0%,Rp 599000,91.36%,03 Dec,"482,146","4,765","161,024"
2019,401.,The Sims™ 4 Island Living,-60%,Rp 191600,63.39%,20 Jun,—,—,—
2019,423.,Tropico 6,-62%,Rp 156453,85.69%,29 Mar,"115,741",749,"15,294"
2019,469.,MX Bikes,0%,Rp 284999,92.28%,07 Oct,"22,744","3,297","5,256"
2019,470.,Anno 1800,0%,Rp 619000,79.68%,16 Apr,"151,388","2,050","25,302"
2019,477.,Beat Saber,0%,Rp 245999,94.04%,21 May,"159,622",407,"4,472"
2019,494.,Kindergarten 2,0%,Rp 130999,94.28%,30 Jul,"8,796",219,"1,060"
2019,511.,Katana ZERO,-40%,Rp 78599,96.37%,18 Apr,"97,546",198,"1,575"
2019,515.,Space Engineers,0%,Rp 149999,87.46%,28 Feb,"338,195","3,626","23,888"
2019,529.,DiRT Rally 2.0,-30%,Rp 83999,86.79%,26 Feb,"109,859",544,"5,080"
2019,542.,Slay the Spire,0%,Rp 211000,96.54%,23 Jan,"225,131","10,284","33,086"
2019,558.,Pikuniku,-75%,Rp 28749,92.88%,24 Jan,"21,616",147,"2,123"
2019,563.,The Sims™ 4 Discover University,-60%,Rp 191600,42.17%,14 Nov,—,—,—
2019,618.,ARK: Genesis Season Pass,0%,Rp 130999,53.41%,08 Aug,—,—,—
2019,628.,Generation Zero®,-70%,Rp 62099,70.83%,26 Mar,"162,769",312,"11,416"
2019,701.,コイカツ！ / Koikatsu Party,0%,Rp 441933,88.49%,10 Jun,"87,601",161,398
2019,708.,Bloodstained: Ritual of the Night,-75%,Rp 137500,91.87%,18 Jun,"106,370",345,"26,934"
2019,710.,theHunter: Call of the Wild™ - Yukon Valley,-60%,Rp 29600,80.37%,25 Jun,—,—,—
2019,800.,Darksiders Genesis,-80%,Rp 41999,80.41%,05 Dec,"61,863",76,"6,433"
2019,825.,The Wild Eight,-90%,Rp 19900,67.07%,03 Oct,"153,997",229,"2,538"
2019,852.,Valve Index® Headset,0%,—,—,28 Jun,"10,743",—,—
2019,886.,The Sims™ 4 Realm of Magic,-30%,Rp 167300,63.71%,10 Sep,—,—,—
2019,913.,WolfQuest: Anniversary Edition,0%,Rp 165999,94.92%,26 Jul,"25,598",589,"2,383"
2019,916.,Dead by Daylight - Stranger Things Chapter,0%,Rp 131890,88.73%,17 Sep,—,—,—
2019,922.,Expansion - Hearts of Iron IV: Man the Guns,-70%,Rp 64499,50.29%,28 Feb,—,—,—
2019,949.,Dead by Daylight - Ghost Face®,-30%,Rp 38423,80.63%,18 Jun,—,—,—
2019,958.,People Playground,0%,Rp 69999,97.46%,23 Jul,"92,340","3,457","17,015"
2019,967.,Lords Mobile: Pacific Rim War,0%,Free,65.70%,03 Jun,"12,049",836,"6,224"
2019,1021.,The Long Drive,0%,Rp 139999,88.53%,25 Sep,"69,801",279,"4,375"
